,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Ancestry
3.7","Data Scientist, CV/NLP","San Francisco, CA","When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. Our talented team of scientists, engineers, genealogists, historians, and storytellers is dedicated to empowering customers around the world from all backgrounds on their journeys of personal discovery.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,1985,$2 to $5 billion (USD)
1,"Verily
4.1","Data Scientist, Viral Genomics","South San Francisco, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable
2,NewLimit,"Data Scientist, Bioinformatics","South San Francisco, CA","NewLimit is a biotechnology company working to radically extend human healthspan. We're developing medicines to treat age-related diseases by reprogramming the epigenome, a new therapeutic mechanism to restore regenerative potential in aged and diseased cells. We leverage functional genomics, pooled perturbation screening, and machine learning models to unravel the biology of epigenetic aging and disease using experiments of unprecedented scale.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,"TikTok
3.6","Data Scientist, University Graduate - 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
4,"FocusKPI Inc.
3.3",Data Scientist,"San Bruno, CA",Data Scientist,Less than $1 million (USD),51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,#N/A,Less than $1 million (USD)
5,"Coupa Software
4.2",Data Scientist,"San Mateo, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2006,Unknown / Non-Applicable
6,"Discord
3.9","Senior Data Scientist, Analytics","San Francisco, CA",#N/A,$25 to $50 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2015,$25 to $50 million (USD)
7,"Verkada
4.0",Growth Data Scientist,"San Mateo, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
8,"TikTok
3.6","Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
9,"Stanford Health Care
4.0",Data Scientist,"Palo Alto, CA",,$2 to $5 billion (USD),10000+ Employees,Hospital,Healthcare,Healthcare Services & Hospitals,1957,$2 to $5 billion (USD)
10,"Notion
4.9","Data Scientist, Growth","San Francisco, CA","We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
11,"Parafin
4.4",Data Scientist,"San Francisco, CA","At Parafin, our mission is to grow small businesses. Small businesses are the backbone of our economy, yet banks do not have their back. Parafin is a technology company that builds infrastructure which enables small businesses to get easy access to financial services via platforms they sell on.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Finance,Financial Transaction Processing,2020,Unknown / Non-Applicable
12,Grid,Data Scientist,"Oakland, CA","Grid is a venture-backed technology startup democratizing financial services for hard-working Americans. We're starting by giving back the money you overpay in taxes today, not next year. Use that extra cash to save for a home upgrade, make the holidays a little brighter, or just give yourself a treat. Grid has already helped thousands of people get a little closer to their dreams. And we're just getting started.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
